trial_type	onset	duration	key_response.corr
correct go	0.06289999999999907	1	1
correct go	1.8278999999999996	1	1
correct go	3.8696999999999946	1	1
correct go	5.622699999999995	1	1
correct stop	7.462699999999998	1	1
correct go	9.3281	1	1
correct go	11.2485	1	1
correct go	12.997699999999995	1	1
correct go	14.829	1	1
correct go	16.5798	1	1
correct go	18.413199999999996	1	1
correct go	20.162	1	1
correct go	21.914300000000004	1	1
correct go	23.7896	1	1
correct go	25.7875	1	1
correct stop	27.620600000000003	1	1
correct go	29.662600000000005	1	1
correct go	31.4959	1	1
correct go	34.12029999999999	1	1
correct go	35.95589999999999	1	1
correct go	37.7875	1	1
correct go	39.5404	1	1
correct go	41.413199999999996	1	1
correct go	43.66479999999999	1	1
correct go	45.454	1	1
correct go	47.205999999999996	1	1
correct go	49.2058	1	1
correct go	50.9984	1	1
correct go	52.749500000000005	1	1
correct go	54.663199999999996	1	1
correct go	56.8713	1	1
correct go	59.5816	1	1
correct go	61.3743	1	1
correct go	63.12279999999999	1	1
correct go	65.124	1	1
correct go	66.9154	1	1
correct stop	69.7114	1	1
correct go	71.58699999999999	1	1
correct go	73.34309999999999	1	1
correct go	75.13829999999999	1	1
correct stop	77.00909999999999	1	1
correct go	78.9998	1	1
correct go	81.04149999999998	1	1
correct stop	82.83519999999999	1	1
correct go	84.6337	1	1
correct go	86.4417	1	1
correct go	88.2543	1	1
correct go	90.12709999999998	1	1
correct stop	91.88909999999998	1	1
correct go	93.71039999999999	1	1
correct go	95.9171	1	1
correct go	97.66729999999998	1	1
failed stop	99.4322	1	0
correct go	101.37359999999998	1	1
correct go	103.25219999999999	1	1
failed stop	105.05879999999999	1	0
correct go	107.20759999999999	1	1
correct go	108.95759999999999	1	1
correct go	110.87519999999998	1	1
correct go	112.6249	1	1
correct go	114.9582	1	1
correct stop	116.7979	1	1
correct go	118.99949999999998	1	1
correct go	121.8768	1	1
failed stop	123.64489999999998	1	0
correct go	125.4999	1	1
correct go	127.2921	1	1
correct stop	129.0625	1	1
correct go	131.584	1	1
correct go	134.6258	1	1
correct go	137.6695	1	1
correct stop	139.6678	1	1
correct go	141.5887	1	1
correct go	143.7514	1	1
correct stop	145.6036	1	1
correct go	147.41799999999998	1	1
correct go	149.29909999999998	1	1
failed stop	151.06779999999998	1	0
correct go	153.0429	1	1
correct go	155.08749999999998	1	1
failed stop	156.85639999999998	1	0
correct go	158.58499999999998	1	1
correct go	160.33929999999998	1	1
correct go	162.17	1	1
failed go	163.921	1	0
correct go	165.8371	1	1
correct go	167.87879999999998	1	1
correct stop	170.08599999999998	1	1
correct go	171.87869999999998	1	1
correct go	174.5454	1	1
correct go	176.62969999999999	1	1
correct go	179.2522	1	1
correct go	181.4359	1	1
failed go	183.37969999999999	1	0
correct go	185.5078	1	1
correct go	187.3192	1	1
correct go	189.0863	1	1
correct go	191.6284	1	1
correct go	193.4212	1	1
correct go	195.30679999999998	1	1
correct go	197.2869	1	1
correct go	199.0033	1	1
correct go	200.91979999999998	1	1
correct go	203.16989999999998	1	1
correct go	205.5461	1	1
correct go	207.3362	1	1
correct go	209.0871	1	1
correct go	210.8375	1	1
failed stop	212.6403	1	0
correct go	214.8794	1	1
correct go	216.7567	1	1
correct stop	219.02379999999997	1	1
correct go	220.8377	1	1
correct go	222.88289999999998	1	1
correct go	224.62999999999997	1	1
correct stop	227.0631	1	1
correct go	228.838	1	1
correct go	230.79639999999998	1	1
correct go	232.8833	1	1
correct go	234.63230000000001	1	1
failed stop	236.4671	1	0
correct go	238.34079999999997	1	1
correct go	240.25789999999998	1	1
correct go	242.3386	1	1
correct go	244.13019999999997	1	1
correct go	245.88179999999997	1	1
failed stop	247.8953	1	0
correct go	249.7558	1	1
correct go	251.96579999999997	1	1
correct go	253.75730000000001	1	1
correct go	255.5886	1	1
correct stop	257.445	1	1
correct go	259.297	1	1
correct go	261.5065	1	1
correct go	263.63300000000004	1	1
correct go	265.38140000000004	1	1
correct go	267.5512	1	1
failed stop	269.3496	1	0
correct go	271.42350000000005	1	1
correct go	273.177	1	1
correct go	274.9252	1	1
correct stop	276.69730000000004	1	1
correct go	278.4653	1	1
correct go	280.26120000000003	1	1
correct go	282.42740000000003	1	1
correct go	284.21630000000005	1	1
correct go	286.4255	1	1
correct go	288.1761	1	1
failed stop	289.92670000000004	1	0
correct go	292.0926	1	1
correct go	293.84380000000004	1	1
correct go	296.2613	1	1
correct go	298.2158	1	1
correct stop	300.11740000000003	1	1
correct go	302.1331	1	1
correct go	303.8845	1	1
correct go	305.9272	1	1
correct stop	307.7013	1	1
correct go	309.5917	1	1
correct go	311.4266	1	1
correct go	313.3004	1	1
correct go	315.38550000000004	1	1
correct go	317.634	1	1
correct go	319.67560000000003	1	1
correct go	321.5093	1	1
correct go	323.2611	1	1
failed stop	325.11310000000003	1	0
correct go	327.00820000000004	1	1
correct go	328.9261	1	1
correct go	330.88840000000005	1	1
correct go	332.77180000000004	1	1
correct go	335.1347	1	1
correct go	337.0516	1	1
correct stop	339.3231	1	1
correct go	342.0099	1	1
correct go	343.8448	1	1
correct go	345.72040000000004	1	1
correct go	347.5933	1	1
failed stop	349.5229	1	0
correct go	351.3856	1	1
